Total number of parameters:  1368216
Train mini-batch 66: 0.23424986 | Time: 0.14840s | Current date & Time: 2022-06-19 14:43:47
Train mini-batch 67: 0.19029269 | Time: 0.14836s | Current date & Time: 2022-06-19 14:43:47
Train mini-batch 68: 0.22012293 | Time: 0.14837s | Current date & Time: 2022-06-19 14:43:47
Train mini-batch 69: 0.21954587 | Time: 0.14836s | Current date & Time: 2022-06-19 14:43:48
Train mini-batch 70: 0.24064167 | Time: 0.14843s | Current date & Time: 2022-06-19 14:43:48
Train mini-batch 71: 0.25627044 | Time: 0.14838s | Current date & Time: 2022-06-19 14:43:48
Train mini-batch 72: 0.22869095 | Time: 0.14837s | Current date & Time: 2022-06-19 14:43:49
Train mini-batch 73: 0.24088497 | Time: 0.14844s | Current date & Time: 2022-06-19 14:43:49
Train mini-batch 74: 0.23447056 | Time: 0.14838s | Current date & Time: 2022-06-19 14:43:49
Train mini-batch 75: 0.25196227 | Time: 0.14851s | Current date & Time: 2022-06-19 14:43:50
Train mini-batch 76: 0.22682492 | Time: 0.14838s | Current date & Time: 2022-06-19 14:43:50
Train mini-batch 77: 0.24712792 | Time: 0.14841s | Current date & Time: 2022-06-19 14:43:50
Train mini-batch 78: 0.23128378 | Time: 0.14837s | Current date & Time: 2022-06-19 14:43:51
Train mini-batch 79: 0.20400330 | Time: 0.14847s | Current date & Time: 2022-06-19 14:43:51
Train mini-batch 80: 0.22396019 | Time: 0.14837s | Current date & Time: 2022-06-19 14:43:51
Train mini-batch 81: 0.25058290 | Time: 0.14838s | Current date & Time: 2022-06-19 14:43:52
Train mini-batch 82: 0.20888093 | Time: 0.14842s | Current date & Time: 2022-06-19 14:43:52
Train mini-batch 83: 0.25599903 | Time: 0.14844s | Current date & Time: 2022-06-19 14:43:52
Train mini-batch 84: 0.21402694 | Time: 0.14835s | Current date & Time: 2022-06-19 14:43:53
Train mini-batch 85: 0.23325667 | Time: 0.14830s | Current date & Time: 2022-06-19 14:43:53
Train mini-batch 86: 0.25066468 | Time: 0.14836s | Current date & Time: 2022-06-19 14:43:53
Train mini-batch 87: 0.20979251 | Time: 0.14837s | Current date & Time: 2022-06-19 14:43:54
Train mini-batch 88: 0.23538382 | Time: 0.14838s | Current date & Time: 2022-06-19 14:43:54
Train mini-batch 89: 0.18906528 | Time: 0.14836s | Current date & Time: 2022-06-19 14:43:54
Train mini-batch 90: 0.22361058 | Time: 0.14839s | Current date & Time: 2022-06-19 14:43:54
Train mini-batch 91: 0.22010444 | Time: 0.14835s | Current date & Time: 2022-06-19 14:43:55
Train mini-batch 92: 0.21963623 | Time: 0.14837s | Current date & Time: 2022-06-19 14:43:55
Train mini-batch 93: 0.23186415 | Time: 0.14838s | Current date & Time: 2022-06-19 14:43:55
Train mini-batch 94: 0.25904399 | Time: 0.14841s | Current date & Time: 2022-06-19 14:43:56
Train mini-batch 95: 0.20766324 | Time: 0.14847s | Current date & Time: 2022-06-19 14:43:56
Train mini-batch 96: 0.24010426 | Time: 0.14837s | Current date & Time: 2022-06-19 14:43:56
Train mini-batch 97: 0.22445068 | Time: 0.14844s | Current date & Time: 2022-06-19 14:43:57
Train mini-batch 98: 0.24059127 | Time: 0.14840s | Current date & Time: 2022-06-19 14:43:57
Train mini-batch 99: 0.24140936 | Time: 0.14837s | Current date & Time: 2022-06-19 14:43:57
Train mini-batch 100: 0.21273929 | Time: 0.14833s | Current date & Time: 2022-06-19 14:43:58
Train mini-batch 101: 0.23055968 | Time: 0.14842s | Current date & Time: 2022-06-19 14:43:58
Train mini-batch 102: 0.20510657 | Time: 0.14839s | Current date & Time: 2022-06-19 14:43:58
Train mini-batch 103: 0.26522496 | Time: 0.14840s | Current date & Time: 2022-06-19 14:43:59
Train mini-batch 104: 0.22078559 | Time: 0.14844s | Current date & Time: 2022-06-19 14:43:59
Train mini-batch 105: 0.22349919 | Time: 0.14836s | Current date & Time: 2022-06-19 14:44:00
Train mini-batch 106: 0.23510288 | Time: 0.14840s | Current date & Time: 2022-06-19 14:44:00
Train mini-batch 107: 0.26180634 | Time: 0.14844s | Current date & Time: 2022-06-19 14:44:00
Train mini-batch 108: 0.22414947 | Time: 0.14836s | Current date & Time: 2022-06-19 14:44:01
Train mini-batch 109: 0.23387159 | Time: 0.14839s | Current date & Time: 2022-06-19 14:44:01
Train mini-batch 110: 0.21890575 | Time: 0.14835s | Current date & Time: 2022-06-19 14:44:01
Train mini-batch 111: 0.24133134 | Time: 0.14837s | Current date & Time: 2022-06-19 14:44:02
Train mini-batch 112: 0.22566190 | Time: 0.14838s | Current date & Time: 2022-06-19 14:44:02
Train mini-batch 113: 0.19904944 | Time: 0.14833s | Current date & Time: 2022-06-19 14:44:02
Train mini-batch 114: 0.21072629 | Time: 0.14829s | Current date & Time: 2022-06-19 14:44:03
Train mini-batch 115: 0.23251355 | Time: 0.14843s | Current date & Time: 2022-06-19 14:44:03
Train mini-batch 116: 0.20678869 | Time: 0.14833s | Current date & Time: 2022-06-19 14:44:03
Train mini-batch 117: 0.22605199 | Time: 0.14830s | Current date & Time: 2022-06-19 14:44:03
Train mini-batch 118: 0.22555909 | Time: 0.14836s | Current date & Time: 2022-06-19 14:44:04
Train mini-batch 119: 0.23568735 | Time: 0.14841s | Current date & Time: 2022-06-19 14:44:04
Train mini-batch 120: 0.23959658 | Time: 0.14833s | Current date & Time: 2022-06-19 14:44:04
Train mini-batch 121: 0.26203325 | Time: 0.14838s | Current date & Time: 2022-06-19 14:44:05
Train mini-batch 122: 0.24687402 | Time: 0.14834s | Current date & Time: 2022-06-19 14:44:05
Train mini-batch 123: 0.23038217 | Time: 0.14832s | Current date & Time: 2022-06-19 14:44:05
Train mini-batch 124: 0.23430909 | Time: 0.14837s | Current date & Time: 2022-06-19 14:44:06
Train mini-batch 125: 0.24641278 | Time: 0.14840s | Current date & Time: 2022-06-19 14:44:06
Train mini-batch 126: 0.21204200 | Time: 0.14842s | Current date & Time: 2022-06-19 14:44:06
Train mini-batch 127: 0.24457183 | Time: 0.14842s | Current date & Time: 2022-06-19 14:44:07
Train mini-batch 128: 0.23535663 | Time: 0.14841s | Current date & Time: 2022-06-19 14:44:07
Train mini-batch 129: 0.23721892 | Time: 0.14840s | Current date & Time: 2022-06-19 14:44:08
Train mini-batch 130: 0.20479229 | Time: 0.14833s | Current date & Time: 2022-06-19 14:44:08
Train mini-batch 131: 0.21647885 | Time: 0.14840s | Current date & Time: 2022-06-19 14:44:08
Train mini-batch 132: 0.27019006 | Time: 0.14840s | Current date & Time: 2022-06-19 14:44:08
Train mini-batch 133: 0.25847933 | Time: 0.14834s | Current date & Time: 2022-06-19 14:44:09
Train mini-batch 134: 0.25132352 | Time: 0.14833s | Current date & Time: 2022-06-19 14:44:09
Train mini-batch 135: 0.20802161 | Time: 0.14842s | Current date & Time: 2022-06-19 14:44:09
Train mini-batch 136: 0.19873935 | Time: 0.14838s | Current date & Time: 2022-06-19 14:44:10
Train mini-batch 137: 0.24830219 | Time: 0.14844s | Current date & Time: 2022-06-19 14:44:10
Train mini-batch 138: 0.20835042 | Time: 0.14838s | Current date & Time: 2022-06-19 14:44:10
Train mini-batch 139: 0.21429712 | Time: 0.14837s | Current date & Time: 2022-06-19 14:44:11
Train mini-batch 140: 0.25742465 | Time: 0.14840s | Current date & Time: 2022-06-19 14:44:11
Train mini-batch 141: 0.24192615 | Time: 0.14843s | Current date & Time: 2022-06-19 14:44:11
Train mini-batch 142: 0.24349225 | Time: 0.14839s | Current date & Time: 2022-06-19 14:44:12
