Total number of parameters:  895333
Train mini-batch 66: 0.32350498 | Time: 0.17381s | Current date & Time: 2022-06-19 23:48:51
Train mini-batch 67: 0.22126845 | Time: 0.17368s | Current date & Time: 2022-06-19 23:48:51
Train mini-batch 68: 0.28369340 | Time: 0.17382s | Current date & Time: 2022-06-19 23:48:51
Train mini-batch 69: 0.23460041 | Time: 0.17382s | Current date & Time: 2022-06-19 23:48:51
Train mini-batch 70: 0.35385102 | Time: 0.17381s | Current date & Time: 2022-06-19 23:48:52
Train mini-batch 71: 0.23870912 | Time: 0.17375s | Current date & Time: 2022-06-19 23:48:52
Train mini-batch 72: 0.22839658 | Time: 0.17382s | Current date & Time: 2022-06-19 23:48:52
Train mini-batch 73: 0.22661155 | Time: 0.17386s | Current date & Time: 2022-06-19 23:48:53
Train mini-batch 74: 0.21154596 | Time: 0.17379s | Current date & Time: 2022-06-19 23:48:53
Train mini-batch 75: 0.26954615 | Time: 0.17379s | Current date & Time: 2022-06-19 23:48:53
Train mini-batch 76: 0.22672762 | Time: 0.17373s | Current date & Time: 2022-06-19 23:48:53
Train mini-batch 77: 0.19655393 | Time: 0.17386s | Current date & Time: 2022-06-19 23:48:54
Train mini-batch 78: 0.19782911 | Time: 0.17381s | Current date & Time: 2022-06-19 23:48:54
Train mini-batch 79: 0.23567490 | Time: 0.17381s | Current date & Time: 2022-06-19 23:48:54
Train mini-batch 80: 0.28086704 | Time: 0.17386s | Current date & Time: 2022-06-19 23:48:54
Train mini-batch 81: 0.19762921 | Time: 0.17388s | Current date & Time: 2022-06-19 23:48:55
Train mini-batch 82: 0.26481906 | Time: 0.17378s | Current date & Time: 2022-06-19 23:48:55
Train mini-batch 83: 0.23797250 | Time: 0.17381s | Current date & Time: 2022-06-19 23:48:55
Train mini-batch 84: 0.22637065 | Time: 0.17382s | Current date & Time: 2022-06-19 23:48:55
Train mini-batch 85: 0.24925028 | Time: 0.17382s | Current date & Time: 2022-06-19 23:48:56
Train mini-batch 86: 0.27473038 | Time: 0.17376s | Current date & Time: 2022-06-19 23:48:56
Train mini-batch 87: 0.23315825 | Time: 0.17387s | Current date & Time: 2022-06-19 23:48:56
Train mini-batch 88: 0.17933978 | Time: 0.17382s | Current date & Time: 2022-06-19 23:48:57
Train mini-batch 89: 0.28344259 | Time: 0.17386s | Current date & Time: 2022-06-19 23:48:57
Train mini-batch 90: 0.22165477 | Time: 0.17382s | Current date & Time: 2022-06-19 23:48:57
Train mini-batch 91: 0.22927696 | Time: 0.17384s | Current date & Time: 2022-06-19 23:48:57
Train mini-batch 92: 0.27350128 | Time: 0.17372s | Current date & Time: 2022-06-19 23:48:58
Train mini-batch 93: 0.22253491 | Time: 0.17377s | Current date & Time: 2022-06-19 23:48:58
Train mini-batch 94: 0.25467557 | Time: 0.17388s | Current date & Time: 2022-06-19 23:48:58
Train mini-batch 95: 0.24942450 | Time: 0.17386s | Current date & Time: 2022-06-19 23:48:58
Train mini-batch 96: 0.25399351 | Time: 0.17378s | Current date & Time: 2022-06-19 23:48:59
Train mini-batch 97: 0.23090145 | Time: 0.17377s | Current date & Time: 2022-06-19 23:48:59
Train mini-batch 98: 0.22285527 | Time: 0.17381s | Current date & Time: 2022-06-19 23:48:59
Train mini-batch 99: 0.24044287 | Time: 0.17380s | Current date & Time: 2022-06-19 23:48:59
Train mini-batch 100: 0.27625620 | Time: 0.17375s | Current date & Time: 2022-06-19 23:49:00
Train mini-batch 101: 0.27968562 | Time: 0.17415s | Current date & Time: 2022-06-19 23:49:00
Train mini-batch 102: 0.27409798 | Time: 0.17426s | Current date & Time: 2022-06-19 23:49:00
Train mini-batch 103: 0.26308459 | Time: 0.17382s | Current date & Time: 2022-06-19 23:49:01
Train mini-batch 104: 0.21186182 | Time: 0.17382s | Current date & Time: 2022-06-19 23:49:01
Train mini-batch 105: 0.22114491 | Time: 0.17378s | Current date & Time: 2022-06-19 23:49:01
Train mini-batch 106: 0.24007469 | Time: 0.17386s | Current date & Time: 2022-06-19 23:49:01
Train mini-batch 107: 0.28766990 | Time: 0.17421s | Current date & Time: 2022-06-19 23:49:02
Train mini-batch 108: 0.26411039 | Time: 0.17381s | Current date & Time: 2022-06-19 23:49:02
Train mini-batch 109: 0.18302122 | Time: 0.17377s | Current date & Time: 2022-06-19 23:49:02
Train mini-batch 110: 0.21282603 | Time: 0.17373s | Current date & Time: 2022-06-19 23:49:02
Train mini-batch 111: 0.25409269 | Time: 0.17386s | Current date & Time: 2022-06-19 23:49:03
Train mini-batch 112: 0.23193812 | Time: 0.17384s | Current date & Time: 2022-06-19 23:49:03
Train mini-batch 113: 0.19299048 | Time: 0.17387s | Current date & Time: 2022-06-19 23:49:03
Train mini-batch 114: 0.23427081 | Time: 0.17382s | Current date & Time: 2022-06-19 23:49:04
Train mini-batch 115: 0.18671152 | Time: 0.17386s | Current date & Time: 2022-06-19 23:49:04
Train mini-batch 116: 0.27413240 | Time: 0.17402s | Current date & Time: 2022-06-19 23:49:04
Train mini-batch 117: 0.20585808 | Time: 0.17372s | Current date & Time: 2022-06-19 23:49:04
Train mini-batch 118: 0.16207208 | Time: 0.17382s | Current date & Time: 2022-06-19 23:49:05
Train mini-batch 119: 0.20124868 | Time: 0.17378s | Current date & Time: 2022-06-19 23:49:05
Train mini-batch 120: 0.18824215 | Time: 0.17383s | Current date & Time: 2022-06-19 23:49:05
Train mini-batch 121: 0.23992316 | Time: 0.17379s | Current date & Time: 2022-06-19 23:49:05
Train mini-batch 122: 0.24265221 | Time: 0.17382s | Current date & Time: 2022-06-19 23:49:06
Train mini-batch 123: 0.20166314 | Time: 0.17384s | Current date & Time: 2022-06-19 23:49:06
Train mini-batch 124: 0.24657908 | Time: 0.17390s | Current date & Time: 2022-06-19 23:49:06
Train mini-batch 125: 0.20784312 | Time: 0.17387s | Current date & Time: 2022-06-19 23:49:06
Train mini-batch 126: 0.26238501 | Time: 0.17381s | Current date & Time: 2022-06-19 23:49:07
Train mini-batch 127: 0.23211612 | Time: 0.17389s | Current date & Time: 2022-06-19 23:49:07
Train mini-batch 128: 0.23402487 | Time: 0.17376s | Current date & Time: 2022-06-19 23:49:07
Train mini-batch 129: 0.24947757 | Time: 0.17381s | Current date & Time: 2022-06-19 23:49:08
Train mini-batch 130: 0.21784416 | Time: 0.17388s | Current date & Time: 2022-06-19 23:49:08
Train mini-batch 131: 0.23799242 | Time: 0.17383s | Current date & Time: 2022-06-19 23:49:08
Train mini-batch 132: 0.27254671 | Time: 0.17380s | Current date & Time: 2022-06-19 23:49:08
Train mini-batch 133: 0.19998801 | Time: 0.17387s | Current date & Time: 2022-06-19 23:49:09
Train mini-batch 134: 0.19182652 | Time: 0.17380s | Current date & Time: 2022-06-19 23:49:09
Train mini-batch 135: 0.23714259 | Time: 0.17372s | Current date & Time: 2022-06-19 23:49:09
Train mini-batch 136: 0.23762277 | Time: 0.17390s | Current date & Time: 2022-06-19 23:49:09
Train mini-batch 137: 0.25366846 | Time: 0.17382s | Current date & Time: 2022-06-19 23:49:10
Train mini-batch 138: 0.29850930 | Time: 0.17374s | Current date & Time: 2022-06-19 23:49:10
Train mini-batch 139: 0.20719142 | Time: 0.17378s | Current date & Time: 2022-06-19 23:49:10
Train mini-batch 140: 0.26807064 | Time: 0.17378s | Current date & Time: 2022-06-19 23:49:10
Train mini-batch 141: 0.19559100 | Time: 0.17378s | Current date & Time: 2022-06-19 23:49:11
Train mini-batch 142: 0.21533479 | Time: 0.17382s | Current date & Time: 2022-06-19 23:49:11
Train mini-batch 143: 0.21385996 | Time: 0.17381s | Current date & Time: 2022-06-19 23:49:11
Train mini-batch 144: 0.23417082 | Time: 0.17388s | Current date & Time: 2022-06-19 23:49:12
Train mini-batch 145: 0.19497338 | Time: 0.17381s | Current date & Time: 2022-06-19 23:49:12
Train mini-batch 146: 0.27109927 | Time: 0.17375s | Current date & Time: 2022-06-19 23:49:12
Train mini-batch 147: 0.17928523 | Time: 0.17389s | Current date & Time: 2022-06-19 23:49:12
Train mini-batch 148: 0.28014949 | Time: 0.17390s | Current date & Time: 2022-06-19 23:49:13
