Total number of parameters:  4967326
Train mini-batch 66: 0.29818603 | Time: 0.13615s | Current date & Time: 2022-06-19 22:23:39
Train mini-batch 67: 0.20456420 | Time: 0.13618s | Current date & Time: 2022-06-19 22:23:39
Train mini-batch 68: 0.22727384 | Time: 0.13615s | Current date & Time: 2022-06-19 22:23:39
Train mini-batch 69: 0.30135286 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:40
Train mini-batch 70: 0.26864523 | Time: 0.13715s | Current date & Time: 2022-06-19 22:23:40
Train mini-batch 71: 0.25163683 | Time: 0.13612s | Current date & Time: 2022-06-19 22:23:40
Train mini-batch 72: 0.27954686 | Time: 0.13613s | Current date & Time: 2022-06-19 22:23:40
Train mini-batch 73: 0.33388627 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:41
Train mini-batch 74: 0.23999955 | Time: 0.13614s | Current date & Time: 2022-06-19 22:23:41
Train mini-batch 75: 0.32754743 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:41
Train mini-batch 76: 0.23909904 | Time: 0.13620s | Current date & Time: 2022-06-19 22:23:41
Train mini-batch 77: 0.17676355 | Time: 0.13619s | Current date & Time: 2022-06-19 22:23:42
Train mini-batch 78: 0.28567529 | Time: 0.13618s | Current date & Time: 2022-06-19 22:23:42
Train mini-batch 79: 0.33641675 | Time: 0.13619s | Current date & Time: 2022-06-19 22:23:42
Train mini-batch 80: 0.27078998 | Time: 0.13614s | Current date & Time: 2022-06-19 22:23:42
Train mini-batch 81: 0.22171493 | Time: 0.13610s | Current date & Time: 2022-06-19 22:23:42
Train mini-batch 82: 0.18907794 | Time: 0.13619s | Current date & Time: 2022-06-19 22:23:43
Train mini-batch 83: 0.25663084 | Time: 0.13616s | Current date & Time: 2022-06-19 22:23:43
Train mini-batch 84: 0.31370103 | Time: 0.13616s | Current date & Time: 2022-06-19 22:23:43
Train mini-batch 85: 0.24862841 | Time: 0.13615s | Current date & Time: 2022-06-19 22:23:43
Train mini-batch 86: 0.17698675 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:44
Train mini-batch 87: 0.22868347 | Time: 0.13618s | Current date & Time: 2022-06-19 22:23:44
Train mini-batch 88: 0.29283914 | Time: 0.13616s | Current date & Time: 2022-06-19 22:23:44
Train mini-batch 89: 0.20784995 | Time: 0.13622s | Current date & Time: 2022-06-19 22:23:44
Train mini-batch 90: 0.23619917 | Time: 0.13618s | Current date & Time: 2022-06-19 22:23:44
Train mini-batch 91: 0.30537510 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:45
Train mini-batch 92: 0.21576592 | Time: 0.13614s | Current date & Time: 2022-06-19 22:23:45
Train mini-batch 93: 0.22571431 | Time: 0.13614s | Current date & Time: 2022-06-19 22:23:45
Train mini-batch 94: 0.28615457 | Time: 0.13618s | Current date & Time: 2022-06-19 22:23:45
Train mini-batch 95: 0.26149398 | Time: 0.13619s | Current date & Time: 2022-06-19 22:23:46
Train mini-batch 96: 0.21548299 | Time: 0.13615s | Current date & Time: 2022-06-19 22:23:46
Train mini-batch 97: 0.27095908 | Time: 0.13618s | Current date & Time: 2022-06-19 22:23:46
Train mini-batch 98: 0.22014125 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:46
Train mini-batch 99: 0.24673697 | Time: 0.13612s | Current date & Time: 2022-06-19 22:23:46
Train mini-batch 100: 0.21003184 | Time: 0.13616s | Current date & Time: 2022-06-19 22:23:47
Train mini-batch 101: 0.20962809 | Time: 0.13616s | Current date & Time: 2022-06-19 22:23:47
Train mini-batch 102: 0.13285631 | Time: 0.13618s | Current date & Time: 2022-06-19 22:23:47
Train mini-batch 103: 0.20688681 | Time: 0.13616s | Current date & Time: 2022-06-19 22:23:47
Train mini-batch 104: 0.17649537 | Time: 0.13618s | Current date & Time: 2022-06-19 22:23:48
Train mini-batch 105: 0.27602604 | Time: 0.13616s | Current date & Time: 2022-06-19 22:23:48
Train mini-batch 106: 0.21358323 | Time: 0.13613s | Current date & Time: 2022-06-19 22:23:48
Train mini-batch 107: 0.20769393 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:48
Train mini-batch 108: 0.23208535 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:49
Train mini-batch 109: 0.20782951 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:49
Train mini-batch 110: 0.22694319 | Time: 0.13621s | Current date & Time: 2022-06-19 22:23:49
Train mini-batch 111: 0.24872763 | Time: 0.13615s | Current date & Time: 2022-06-19 22:23:49
Train mini-batch 112: 0.23225939 | Time: 0.13613s | Current date & Time: 2022-06-19 22:23:49
Train mini-batch 113: 0.29492396 | Time: 0.13613s | Current date & Time: 2022-06-19 22:23:50
Train mini-batch 114: 0.21176982 | Time: 0.13619s | Current date & Time: 2022-06-19 22:23:50
Train mini-batch 115: 0.24205597 | Time: 0.13622s | Current date & Time: 2022-06-19 22:23:50
Train mini-batch 116: 0.27132642 | Time: 0.13616s | Current date & Time: 2022-06-19 22:23:50
Train mini-batch 117: 0.21222129 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:51
Train mini-batch 118: 0.18455641 | Time: 0.13618s | Current date & Time: 2022-06-19 22:23:51
Train mini-batch 119: 0.22557464 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:51
Train mini-batch 120: 0.25108472 | Time: 0.13616s | Current date & Time: 2022-06-19 22:23:51
Train mini-batch 121: 0.23768812 | Time: 0.13615s | Current date & Time: 2022-06-19 22:23:51
Train mini-batch 122: 0.20902354 | Time: 0.13611s | Current date & Time: 2022-06-19 22:23:52
Train mini-batch 123: 0.25068882 | Time: 0.13618s | Current date & Time: 2022-06-19 22:23:52
Train mini-batch 124: 0.22892477 | Time: 0.13613s | Current date & Time: 2022-06-19 22:23:52
Train mini-batch 125: 0.24259266 | Time: 0.13616s | Current date & Time: 2022-06-19 22:23:52
Train mini-batch 126: 0.26031974 | Time: 0.13616s | Current date & Time: 2022-06-19 22:23:53
Train mini-batch 127: 0.20828669 | Time: 0.13613s | Current date & Time: 2022-06-19 22:23:53
Train mini-batch 128: 0.22556184 | Time: 0.13618s | Current date & Time: 2022-06-19 22:23:53
Train mini-batch 129: 0.22502673 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:53
Train mini-batch 130: 0.20815019 | Time: 0.13615s | Current date & Time: 2022-06-19 22:23:53
Train mini-batch 131: 0.27314547 | Time: 0.13613s | Current date & Time: 2022-06-19 22:23:54
Train mini-batch 132: 0.18974420 | Time: 0.13615s | Current date & Time: 2022-06-19 22:23:54
Train mini-batch 133: 0.21391702 | Time: 0.13616s | Current date & Time: 2022-06-19 22:23:54
Train mini-batch 134: 0.25217152 | Time: 0.13619s | Current date & Time: 2022-06-19 22:23:54
Train mini-batch 135: 0.21814160 | Time: 0.13618s | Current date & Time: 2022-06-19 22:23:55
Train mini-batch 136: 0.23140821 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:55
Train mini-batch 137: 0.19416410 | Time: 0.13613s | Current date & Time: 2022-06-19 22:23:55
Train mini-batch 138: 0.16998769 | Time: 0.13618s | Current date & Time: 2022-06-19 22:23:55
Train mini-batch 139: 0.18169065 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:55
Train mini-batch 140: 0.27735227 | Time: 0.13622s | Current date & Time: 2022-06-19 22:23:56
Train mini-batch 141: 0.21474406 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:56
Train mini-batch 142: 0.24029905 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:56
Train mini-batch 143: 0.19524433 | Time: 0.13618s | Current date & Time: 2022-06-19 22:23:56
Train mini-batch 144: 0.27585450 | Time: 0.13623s | Current date & Time: 2022-06-19 22:23:57
Train mini-batch 145: 0.22365388 | Time: 0.13615s | Current date & Time: 2022-06-19 22:23:57
Train mini-batch 146: 0.22371039 | Time: 0.13616s | Current date & Time: 2022-06-19 22:23:57
Train mini-batch 147: 0.21355173 | Time: 0.13614s | Current date & Time: 2022-06-19 22:23:57
Train mini-batch 148: 0.24435979 | Time: 0.13614s | Current date & Time: 2022-06-19 22:23:58
Train mini-batch 149: 0.23211913 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:58
Train mini-batch 150: 0.27329576 | Time: 0.13620s | Current date & Time: 2022-06-19 22:23:58
Train mini-batch 151: 0.22411904 | Time: 0.13613s | Current date & Time: 2022-06-19 22:23:58
Train mini-batch 152: 0.31805497 | Time: 0.13612s | Current date & Time: 2022-06-19 22:23:58
Train mini-batch 153: 0.19277737 | Time: 0.13619s | Current date & Time: 2022-06-19 22:23:59
Train mini-batch 154: 0.25838700 | Time: 0.13630s | Current date & Time: 2022-06-19 22:23:59
Train mini-batch 155: 0.21621020 | Time: 0.13621s | Current date & Time: 2022-06-19 22:23:59
Train mini-batch 156: 0.18264572 | Time: 0.13613s | Current date & Time: 2022-06-19 22:23:59
Train mini-batch 157: 0.24093211 | Time: 0.13615s | Current date & Time: 2022-06-19 22:24:00
Train mini-batch 158: 0.18764071 | Time: 0.13618s | Current date & Time: 2022-06-19 22:24:00
Train mini-batch 159: 0.26227623 | Time: 0.13615s | Current date & Time: 2022-06-19 22:24:00
Train mini-batch 160: 0.18493600 | Time: 0.13614s | Current date & Time: 2022-06-19 22:24:00
Train mini-batch 161: 0.17683542 | Time: 0.13615s | Current date & Time: 2022-06-19 22:24:00
Train mini-batch 162: 0.16872494 | Time: 0.13616s | Current date & Time: 2022-06-19 22:24:01
Train mini-batch 163: 0.18702006 | Time: 0.13616s | Current date & Time: 2022-06-19 22:24:01
Train mini-batch 164: 0.24180189 | Time: 0.13613s | Current date & Time: 2022-06-19 22:24:01
Train mini-batch 165: 0.18719931 | Time: 0.13617s | Current date & Time: 2022-06-19 22:24:01
Train mini-batch 166: 0.21195418 | Time: 0.13613s | Current date & Time: 2022-06-19 22:24:02
