Total number of parameters:  1368216
Train mini-batch 66: 0.20600630 | Time: 0.14770s | Current date & Time: 2022-06-19 15:28:18
Train mini-batch 67: 0.24440698 | Time: 0.14765s | Current date & Time: 2022-06-19 15:28:18
Train mini-batch 68: 0.21049935 | Time: 0.14762s | Current date & Time: 2022-06-19 15:28:19
Train mini-batch 69: 0.18152794 | Time: 0.14764s | Current date & Time: 2022-06-19 15:28:19
Train mini-batch 70: 0.21631727 | Time: 0.14763s | Current date & Time: 2022-06-19 15:28:19
Train mini-batch 71: 0.18509969 | Time: 0.14764s | Current date & Time: 2022-06-19 15:28:20
Train mini-batch 72: 0.19972417 | Time: 0.14760s | Current date & Time: 2022-06-19 15:28:20
Train mini-batch 73: 0.22583279 | Time: 0.14769s | Current date & Time: 2022-06-19 15:28:20
Train mini-batch 74: 0.20455937 | Time: 0.14766s | Current date & Time: 2022-06-19 15:28:21
Train mini-batch 75: 0.20672010 | Time: 0.14762s | Current date & Time: 2022-06-19 15:28:21
Train mini-batch 76: 0.22466186 | Time: 0.14763s | Current date & Time: 2022-06-19 15:28:21
Train mini-batch 77: 0.21163377 | Time: 0.14755s | Current date & Time: 2022-06-19 15:28:22
Train mini-batch 78: 0.17224340 | Time: 0.14759s | Current date & Time: 2022-06-19 15:28:22
Train mini-batch 79: 0.20714493 | Time: 0.14762s | Current date & Time: 2022-06-19 15:28:22
Train mini-batch 80: 0.19146462 | Time: 0.14762s | Current date & Time: 2022-06-19 15:28:23
Train mini-batch 81: 0.18092047 | Time: 0.14760s | Current date & Time: 2022-06-19 15:28:23
Train mini-batch 82: 0.19745275 | Time: 0.14764s | Current date & Time: 2022-06-19 15:28:23
Train mini-batch 83: 0.20738864 | Time: 0.14754s | Current date & Time: 2022-06-19 15:28:24
Train mini-batch 84: 0.18423174 | Time: 0.14756s | Current date & Time: 2022-06-19 15:28:24
Train mini-batch 85: 0.20980288 | Time: 0.14766s | Current date & Time: 2022-06-19 15:28:24
Train mini-batch 86: 0.19064222 | Time: 0.14763s | Current date & Time: 2022-06-19 15:28:25
Train mini-batch 87: 0.22910067 | Time: 0.14753s | Current date & Time: 2022-06-19 15:28:25
Train mini-batch 88: 0.20590955 | Time: 0.14763s | Current date & Time: 2022-06-19 15:28:25
Train mini-batch 89: 0.21085531 | Time: 0.14761s | Current date & Time: 2022-06-19 15:28:26
Train mini-batch 90: 0.18688536 | Time: 0.14760s | Current date & Time: 2022-06-19 15:28:26
Train mini-batch 91: 0.18638724 | Time: 0.14759s | Current date & Time: 2022-06-19 15:28:26
Train mini-batch 92: 0.18671581 | Time: 0.14757s | Current date & Time: 2022-06-19 15:28:27
Train mini-batch 93: 0.21025515 | Time: 0.14766s | Current date & Time: 2022-06-19 15:28:27
Train mini-batch 94: 0.20148438 | Time: 0.14760s | Current date & Time: 2022-06-19 15:28:27
Train mini-batch 95: 0.15772834 | Time: 0.14764s | Current date & Time: 2022-06-19 15:28:28
Train mini-batch 96: 0.22463377 | Time: 0.14762s | Current date & Time: 2022-06-19 15:28:28
Train mini-batch 97: 0.20182323 | Time: 0.14766s | Current date & Time: 2022-06-19 15:28:28
Train mini-batch 98: 0.20883819 | Time: 0.14765s | Current date & Time: 2022-06-19 15:28:29
Train mini-batch 99: 0.18070842 | Time: 0.14764s | Current date & Time: 2022-06-19 15:28:29
Train mini-batch 100: 0.20936023 | Time: 0.14765s | Current date & Time: 2022-06-19 15:28:29
Train mini-batch 101: 0.19808467 | Time: 0.14763s | Current date & Time: 2022-06-19 15:28:30
Train mini-batch 102: 0.22117430 | Time: 0.14760s | Current date & Time: 2022-06-19 15:28:30
Train mini-batch 103: 0.22096269 | Time: 0.14755s | Current date & Time: 2022-06-19 15:28:30
Train mini-batch 104: 0.24602342 | Time: 0.14763s | Current date & Time: 2022-06-19 15:28:31
Train mini-batch 105: 0.21838902 | Time: 0.14759s | Current date & Time: 2022-06-19 15:28:31
Train mini-batch 106: 0.22491235 | Time: 0.14766s | Current date & Time: 2022-06-19 15:28:31
Train mini-batch 107: 0.17531678 | Time: 0.14754s | Current date & Time: 2022-06-19 15:28:32
Train mini-batch 108: 0.19754174 | Time: 0.14770s | Current date & Time: 2022-06-19 15:28:32
Train mini-batch 109: 0.15580910 | Time: 0.14765s | Current date & Time: 2022-06-19 15:28:32
Train mini-batch 110: 0.21912625 | Time: 0.14765s | Current date & Time: 2022-06-19 15:28:33
Train mini-batch 111: 0.17660078 | Time: 0.14763s | Current date & Time: 2022-06-19 15:28:33
Train mini-batch 112: 0.24046627 | Time: 0.14767s | Current date & Time: 2022-06-19 15:28:33
