Total number of parameters:  4712814
Train mini-batch 66: 0.23582390 | Time: 0.17526s | Current date & Time: 2022-06-17 01:40:51
Train mini-batch 67: 0.20576936 | Time: 0.17532s | Current date & Time: 2022-06-17 01:40:52
Train mini-batch 68: 0.21439709 | Time: 0.17530s | Current date & Time: 2022-06-17 01:40:52
Train mini-batch 69: 0.16332272 | Time: 0.17530s | Current date & Time: 2022-06-17 01:40:52
Train mini-batch 70: 0.18852881 | Time: 0.17524s | Current date & Time: 2022-06-17 01:40:52
Train mini-batch 71: 0.19020592 | Time: 0.17524s | Current date & Time: 2022-06-17 01:40:53
Train mini-batch 72: 0.19586724 | Time: 0.17531s | Current date & Time: 2022-06-17 01:40:53
Train mini-batch 73: 0.16908287 | Time: 0.17519s | Current date & Time: 2022-06-17 01:40:53
Train mini-batch 74: 0.15940188 | Time: 0.17522s | Current date & Time: 2022-06-17 01:40:54
Train mini-batch 75: 0.25730467 | Time: 0.17527s | Current date & Time: 2022-06-17 01:40:54
Train mini-batch 76: 0.22533599 | Time: 0.17526s | Current date & Time: 2022-06-17 01:40:54
Train mini-batch 77: 0.18354169 | Time: 0.17531s | Current date & Time: 2022-06-17 01:40:54
Train mini-batch 78: 0.17047118 | Time: 0.17525s | Current date & Time: 2022-06-17 01:40:55
Train mini-batch 79: 0.20128062 | Time: 0.17535s | Current date & Time: 2022-06-17 01:40:55
Train mini-batch 80: 0.22550160 | Time: 0.17523s | Current date & Time: 2022-06-17 01:40:55
Train mini-batch 81: 0.19327232 | Time: 0.17527s | Current date & Time: 2022-06-17 01:40:55
Train mini-batch 82: 0.15757897 | Time: 0.17525s | Current date & Time: 2022-06-17 01:40:56
Train mini-batch 83: 0.17731017 | Time: 0.17531s | Current date & Time: 2022-06-17 01:40:56
Train mini-batch 84: 0.17950626 | Time: 0.17531s | Current date & Time: 2022-06-17 01:40:56
Train mini-batch 85: 0.19886945 | Time: 0.17525s | Current date & Time: 2022-06-17 01:40:56
Train mini-batch 86: 0.20580930 | Time: 0.17536s | Current date & Time: 2022-06-17 01:40:57
Train mini-batch 87: 0.14526889 | Time: 0.17520s | Current date & Time: 2022-06-17 01:40:57
Train mini-batch 88: 0.16049916 | Time: 0.17526s | Current date & Time: 2022-06-17 01:40:57
Train mini-batch 89: 0.23616168 | Time: 0.17607s | Current date & Time: 2022-06-17 01:40:57
Train mini-batch 90: 0.17386591 | Time: 0.17536s | Current date & Time: 2022-06-17 01:40:58
Train mini-batch 91: 0.18952441 | Time: 0.17530s | Current date & Time: 2022-06-17 01:40:58
Train mini-batch 92: 0.15626597 | Time: 0.17535s | Current date & Time: 2022-06-17 01:40:58
Train mini-batch 93: 0.22227642 | Time: 0.17533s | Current date & Time: 2022-06-17 01:40:58
